Operateur,Reference,Produit,Engagement,Unit�,TypeProduit,Frequence,RecurentCharge,NonRecurentCharge
SFR,DS-IC-FTTH-200M-SFR-36,Lien FTTH 200Mb/s SFR - 5M garanti,Engagement 36 mois,Lien,R�current,1,44.00 ,0.00 
SFR,DS-IC-FTTH-200M-SFR-24,Lien FTTH 200Mb/s SFR - 5M garanti,Engagement 24 mois,Lien,R�current,1,44.00 ,61.00 
SFR,DS-IC-FTTH-200M-SFR-12,Lien FTTH 200Mb/s SFR - 5M garanti,Engagement 12 mois,Lien,R�current,1,44.00 ,121.00 
SFR,DS-IC-FTTH-1G-SFR-36,Lien FTTH 1Gb/s SFR - 5M garanti,Engagement 36 mois,Lien,R�current,1,45.00 ,0.00 
SFR,DS-IC-FTTH-1G-SFR-24,Lien FTTH 1Gb/s SFR - 5M garanti,Engagement 24 mois,Lien,R�current,1,45.00 ,40.00 
ALTITUDE INFRASTRUCTURE,DS-IC-FTTH-1G-ALT-36,Lien FTTH 1Gb/s ALTITUDE INFRASTRUCTURE,Engagement 36 mois,Lien,R�current,1,43.00 ,0.00 
ALTITUDE INFRASTRUCTURE,DS-IC-FTTH-1G-ALT-24,Lien FTTH 1Gb/s ALTITUDE INFRASTRUCTURE,Engagement 24 mois,Lien,R�current,1,43.00 ,40.00 
ALTITUDE INFRASTRUCTURE,DS-IC-FTTH-1G-ALT-12,Lien FTTH 1Gb/s ALTITUDE INFRASTRUCTURE,Engagement 12 mois,Lien,R�current,1,43.00 ,80.00 
ORANGE,DS-IC-FTTH-PRO-RIP-1G+500MG-ORG-36,Lien FTTH 1Gb/s - 500Mb/s - ORANGE PRO RIP ,Engagement 36 mois,Lien,R�current,1,49.00 ,0.00 
ORANGE,DS-IC-FTTH-PRO-RIP-1G+500MG-ORG-24,Lien FTTH 1Gb/s - 500Mb/s - ORANGE PRO RIP,Engagement 24 mois,Lien,NRC,,49.00 ,55.00 
ORANGE,DS-IC-FTTH-PRO-RIP-1G+500MG-ORG-12,Lien FTTH 1Gb/s - 500Mb/s - ORANGE PRO RIP,Engagement 12 mois,Lien,R�current,1,49.00 ,111.00 
ORANGE,DS-IC-FTTH-PRO-RIP-1G+GTR-ORG-36,Lien FTTH 1Gb/s - 500Mb/s - ORANGE PRO RIP + GTR 10h,Engagement 36 mois,Lien,R�current,1,79.00 ,0.00 
ORANGE,DS-IC-FTTH-PRO-RIP-1G+GTR-ORG-24,Lien FTTH 1Gb/s - 500Mb/s - ORANGE PRO RIP + GTR 10h,Engagement 24 mois,Lien,NRC,,79.00 ,55.00 
ORANGE,DS-IC-FTTH-PRO-RIP-1G+GTR-ORG-12,Lien FTTH 1Gb/s - 500Mb/s - ORANGE PRO RIP + GTR 10h,Engagement 12 mois,Lien,NRC,,79.00 ,111.00 
ORANGE,DS-IC-FTTH-GP-RIP-1G-ORG-36,Lien FTTH 1Gb/s - 300Mb/s - ORANGE GP RIP ,Engagement 36 mois,Lien,R�current,1,33.00 ,0.00 
ORANGE,DS-IC-FTTH-GP-RIP-1G-ORG-24,Lien FTTH 1Gb/s - 300Mb/s - ORANGE GP RIP ,Engagement 24 mois,Lien,NRC,,33.00 ,55.00 
ORANGE,DS-IC-FTTH-GP-RIP-1G-ORG-12,Lien FTTH 1Gb/s - 300Mb/s - ORANGE GP RIP ,Engagement 12 mois,Lien,NRC,,33.00 ,111.00 
ALTITUDE INFRASTRUCTURE,DS-IC-FTTH-1G+4MG-ALT-36,Lien FTTH 1Gb/s - 500Mb/s - 4M garanti ALTITUDE INFRASTRUCTURE GTR 8h,Engagement 36 mois,Lien,R�current,1,118.00 ,0.00 
ALTITUDE INFRASTRUCTURE,DS-IC-FTTH-1G+4MG-ALT-24,Lien FTTH 1Gb/s - 500Mb/s - 4M garanti ALTITUDE INFRASTRUCTURE GTR 8h,Engagement 24 mois,Lien,NRC,,118.00 ,120.00 
ALTITUDE INFRASTRUCTURE,DS-IC-FTTH-1G+4MG-ALT-12,Lien FTTH 1Gb/s - 500Mb/s - 4M garanti ALTITUDE INFRASTRUCTURE GTR 8h,Engagement 12 mois,Lien,R�current,1,118.00 ,240.00 
ALTITUDE INFRASTRUCTURE,DS-IC-FTTH-1G+10MG-ALT-36,Lien FTTH 1Gb/s - 500Mb/s - 10M garanti ALTITUDE INFRASTRUCTURE GTR 8h,Engagement 36 mois,Lien,R�current,1,148.00 ,0.00 
ALTITUDE INFRASTRUCTURE,DS-IC-FTTH-1G+10MG-ALT-24,Lien FTTH 1Gb/s - 500Mb/s - 10M garanti ALTITUDE INFRASTRUCTURE GTR 8h,Engagement 24 mois,Lien,NRC,,148.00 ,120.00 
ALTITUDE INFRASTRUCTURE,DS-IC-FTTH-1G+10MG-ALT-12,Lien FTTH 1Gb/s - 500Mb/s - 10M garanti ALTITUDE INFRASTRUCTURE GTR 8h,Engagement 12 mois,Lien,R�current,1,148.00 ,240.00 
BOUYGUES TELECOM,DS-IC-FTTH-1G-BOT-36,Lien FTTH 1Gb/s BOUYGUES TEL,Engagement 36 mois,Lien,R�current,1,47.00 ,0.00 
BOUYGUES TELECOM,DS-IC-FTTH-1G-BOT-24,Lien FTTH 1Gb/s BOUYGUES TEL,Engagement 24 mois,lien,R�current,1,47.00 ,60.00 
BOUYGUES TELECOM,DS-IC-FTTH-1G-BOT-12,Lien FTTH 1Gb/s BOUYGUES TEL,Engagement 12 mois,lien,NRC,,47.00 ,120.00 
AXIONE,DS-IC-FTTH-OFF-1G+10MG-AXN-36,Lien FTTH 1Gb/s - 300Mb/s - 10M garanti AXIONE OFFICE RIP 2 + GTR 10h,Engagement 36 mois,Lien,R�current,1,98.00 ,0.00 
AXIONE,DS-IC-FTTH-OFF-1G+10MG-AXN-24,Lien FTTH 1Gb/s - 300Mb/s - 10M garanti AXIONE OFFICE RIP 2 + GTR 10h,Engagement 24 mois,Lien,R�current,1,98.00 ,24.00 
AXIONE,DS-IC-FTTH-OFF-1G+10MG-AXN-12,Lien FTTH 1Gb/s - 300Mb/s - 10M garanti AXIONE OFFICE RIP 2 + GTR 10h,Engagement 12 mois,Lien,R�current,1,98.00 ,48.00 
AXIONE,DS-IC-FTTH-OFF-1G+100MG-AXN-36,Lien FTTH 1Gb/s - 300Mb/s - 100M garanti AXIONE OFFICE RIP 2 + GTR 10h,Engagement 36 mois,Lien,R�current,1,146.00 ,0.00 
AXIONE,DS-IC-FTTH-OFF-CIT-1G+100MG-AXN-36,Lien FTTH 1Gb/s - 300Mb/s - 100M garanti AXIONE OFFICE ZTD + GTR 10h,Engagement 36 mois,Lien,R�current,1,74.00 ,0.00 
AXIONE,DS-IC-FTTH-OFF-CIT-1G+100MG-AXN-24,Lien FTTH 1Gb/s - 300Mb/s - 100M garanti AXIONE OFFICE ZTD + GTR 10h,Engagement 24 mois,Lien,NRC,,74.00 ,24.00 
AXIONE,DS-IC-FTTH-OFF-1G+100MG-AXN-24,Lien FTTH 1Gb/s - 300Mb/s - 100M garanti AXIONE OFFICE RIP 2 + GTR 10h,Engagement 24 mois,Lien,R�current,1,146.00 ,24.00 
AXIONE,DS-IC-FTTH-OFF-1G+100MG-AXN-12,Lien FTTH 1Gb/s - 300Mb/s - 100M garanti AXIONE OFFICE RIP 2 + GTR 10h,Engagement 12 mois,Lien,R�current,1,146.00 ,48.00 
AXIONE,DS-IC-FTTH-OFF-CIT-1G+100MG-AXN-12,Lien FTTH 1Gb/s - 300Mb/s - 100M garanti AXIONE OFFICE ZTD + GTR 10h,Engagement 12 mois,Lien,R�current,1,74.00 ,48.00 
